iter	Passed	Remaining
0	2	231
1	4	223
2	6	208
3	8	193
4	10	193
5	11	187
6	14	190
7	16	186
8	18	190
9	20	188
10	23	187
11	25	189
12	27	185
13	29	183
14	32	181
15	33	177
16	36	176
17	38	173
18	40	172
19	43	172
20	45	171
21	47	167
22	49	164
23	51	161
24	52	157
25	54	155
26	56	152
27	58	149
28	60	147
29	61	144
30	63	142
31	65	139
32	67	137
33	69	135
34	71	132
35	73	130
36	74	127
37	76	124
38	78	122
39	79	119
40	81	117
41	82	113
42	84	111
43	85	109
44	87	106
45	89	104
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	92
52	101	90
53	103	87
54	104	85
55	105	82
56	107	80
57	108	78
58	111	77
59	112	75
60	115	73
61	116	71
62	118	69
63	121	68
64	123	66
65	125	64
66	128	63
67	129	61
68	131	59
69	133	57
70	135	55
71	137	53
72	139	51
73	141	49
74	143	47
75	145	45
76	147	44
77	149	42
78	151	40
79	152	38
80	154	36
81	155	34
82	157	32
83	158	30
84	160	28
85	177	28
86	179	26
87	180	24
88	182	22
89	183	20
90	184	18
91	186	16
92	187	14
93	189	12
94	190	10
95	192	8
96	193	5
97	195	3
98	196	1
99	197	0
